venda_id,cliente_id,produto_id,data_venda,quantidade,desconto,metodo_pagamento,avaliacao_compra,preco,valor_total,mes,dia_semana
19,2696,127,2022-01-01 21:01:31.446096406,2,0.15,Cartao,5,48.8050985090797,91.26553421197904,1,5
20,3649,35,2022-01-01 22:11:36.526435095,3,0.0,Cartao,4,50.105321836055715,165.34756205898387,1,5
21,2053,136,2022-01-01 23:21:41.606773784,2,0.0,Boleto,5,30.15325332576214,66.33715731667671,1,5
22,632,111,2022-01-02 00:31:46.687112474,3,0.1,Cartao,4,105.25940877816859,312.62044407116076,1,6
23,3443,43,2022-01-02 01:41:51.767451163,4,0.1,Cartao,1,22.72460702992212,89.9894438384916,1,6
24,1755,45,2022-01-02 02:51:56.847789852,2,0.05,Cartao,5,143.9108833148359,300.773746128007,1,6
25,3034,134,2022-01-02 04:02:01.928128541,3,0.0,PIX,4,169.71256359437055,560.0514598614229,1,6
26,1579,13,2022-01-02 05:12:07.008467231,3,0.1,PayPal,5,74.21176086025427,220.4089297549552,1,6
27,26,11,2022-01-02 06:22:12.088805920,3,0.05,Cartao,5,53.81441066564159,168.70817743678637,1,6
28,2210,102,2022-01-02 07:32:17.169144609,3,0.1,PIX,5,193.05554121921594,573.3749574210715,1,6
29,2903,198,2022-01-02 08:42:22.249483298,3,0.0,Cartao,5,68.7478212041946,226.86780997384218,1,6
30,1130,197,2022-01-02 09:52:27.329821988,4,0.0,Cartao,5,81.73822748219422,359.6482009216546,1,6
31,4997,135,2022-01-02 11:02:32.410160677,3,0.1,PIX,5,15.427257917211355,45.81895601411773,1,6
32,4105,55,2022-01-02 12:12:37.490499366,2,0.1,Cartao,4,121.7900018732139,241.14420370896352,1,6
33,4146,183,2022-01-02 13:22:42.570838055,2,0.1,PIX,4,300.32494087249347,594.6433829275371,1,6
34,442,19,2022-01-02 14:32:47.651176745,5,0.1,PayPal,4,40.71717391865951,201.5500108973646,1,6
35,3896,107,2022-01-02 15:42:52.731515434,3,0.0,Boleto,5,166.74097046283643,550.2452025273602,1,6
36,4798,6,2022-01-02 16:52:57.811854123,3,0.0,Boleto,1,26.998242006565224,89.09419862166526,1,6
37,4850,9,2022-01-02 18:03:02.892192812,1,0.05,Cartao,4,12.43664425173494,12.996293243063013,1,6
38,1829,148,2022-01-02 19:13:07.972531502,3,0.05,Cartao,3,46.119815081995306,144.58562028205526,1,6
39,1536,25,2022-01-02 20:23:13.052870191,1,0.05,PIX,5,10.0,10.450000000000001,1,6
40,4326,50,2022-01-02 21:33:18.133208880,2,0.1,PIX,5,51.53555191243645,102.04039278662418,1,6
41,560,72,2022-01-02 22:43:23.213547569,3,0.0,Cartao,4,28.741808328660944,94.84796748458113,1,6
42,1174,178,2022-01-02 23:53:28.293886259,3,0.1,Cartao,4,111.14854061524342,330.111165627273,1,6
43,1879,166,2022-01-03 01:03:33.374224948,4,0.0,PIX,1,33.04297823943153,132.1719129577261,1,0
44,2256,66,2022-01-03 02:13:38.454563637,4,0.0,PIX,5,17.782019630841017,71.12807852336407,1,0
45,1085,57,2022-01-03 03:23:43.534902326,2,0.0,Cartao,4,148.00765036724067,296.01530073448134,1,0
46,3915,22,2022-01-03 04:33:48.615241016,2,0.05,Cartao,3,107.89218831385797,204.99515779633015,1,0
47,239,56,2022-01-03 05:43:53.695579705,3,0.05,Cartao,5,35.04069350877726,99.8659765000152,1,0
48,2915,36,2022-01-03 06:53:58.775918394,6,0.05,PayPal,2,86.08705738668456,490.6962271041019,1,0
49,2096,179,2022-01-03 08:04:03.856257083,1,0.0,Cartao,4,103.98980664371612,103.98980664371612,1,0
50,1472,68,2022-01-03 09:14:08.936595773,4,0.05,PIX,4,149.05162093820286,566.3961595651708,1,0
51,2046,1,2022-01-03 10:24:14.016934462,2,0.1,PIX,5,68.66858941690182,123.60346095042328,1,0
52,4613,48,2022-01-03 11:34:19.097273151,5,0.0,PIX,5,31.27535906794353,156.37679533971766,1,0
53,3684,161,2022-01-03 12:44:24.177611840,1,0.15,PIX,3,20.764884896342735,17.650152161891324,1,0
54,205,152,2022-01-03 13:54:29.257950530,3,0.0,Boleto,5,61.99186490838914,185.9755947251674,1,0
55,3601,177,2022-01-03 15:04:34.338289219,1,0.2,PIX,5,113.73195362413249,90.98556289930599,1,0
56,2138,197,2022-01-03 16:14:39.418627908,2,0.1,Boleto,4,81.73822748219422,147.1288094679496,1,0
57,1214,58,2022-01-03 17:24:44.498966597,2,0.05,Cartao,4,10.3134849941049,19.59562148879931,1,0
58,3835,48,2022-01-03 18:34:49.579305287,1,0.0,Cartao,2,31.27535906794353,31.27535906794353,1,0
59,3092,185,2022-01-03 19:44:54.659643976,3,0.05,PIX,4,40.03810141835146,114.10858904230166,1,0
60,1383,192,2022-01-03 20:54:59.739982665,3,0.1,Cartao,3,115.65005666048887,312.25515298332,1,0
61,3681,99,2022-01-03 22:05:04.820321354,4,0.0,Boleto,3,60.24597435332988,240.9838974133195,1,0
62,1680,181,2022-01-03 23:15:09.900660044,1,0.0,Cartao,1,35.631233682709755,35.631233682709755,1,0
63,7,188,2022-01-04 00:25:14.980998733,3,0.05,Cartao,5,101.14852671932906,288.2733011500878,1,1
64,1886,126,2022-01-04 01:35:20.061337422,4,0.0,Boleto,5,29.907893377419807,119.63157350967923,1,1
65,3499,114,2022-01-04 02:45:25.141676111,3,0.0,PIX,5,84.11780070246768,252.35340210740304,1,1
66,296,90,2022-01-04 03:55:30.222014801,2,0.1,PIX,5,60.62585827401395,109.12654489322512,1,1
67,264,113,2022-01-04 05:05:35.302353490,3,0.0,Cartao,5,17.66891423500304,53.00674270500912,1,1
68,2138,171,2022-01-04 06:15:40.382692179,3,0.05,Cartao,5,54.97895652250185,156.69002608913027,1,1
69,4949,169,2022-01-04 07:25:45.463030868,3,0.0,PIX,5,22.952080615744848,68.85624184723454,1,1
70,3866,107,2022-01-04 08:35:50.543369558,2,0.15,Cartao,5,166.74097046283643,283.4596497868219,1,1
71,4497,154,2022-01-04 09:45:55.623708247,4,0.05,PIX,5,59.874062165308146,227.52143622817096,1,1
72,4453,187,2022-01-04 10:56:00.704046936,6,0.15,PIX,3,59.807830373924524,305.01993490701506,1,1
73,2547,105,2022-01-04 12:06:05.784385625,4,0.1,Cartao,3,81.22679884711562,292.41647584961623,1,1
74,4930,177,2022-01-04 13:16:10.864724314,4,0.1,PIX,5,113.73195362413249,409.435033046877,1,1
75,4531,192,2022-01-04 14:26:15.945063004,2,0.0,PIX,3,115.65005666048887,231.30011332097774,1,1
76,119,133,2022-01-04 15:36:21.025401693,3,0.05,Cartao,5,35.573127676769815,101.38341387879397,1,1
77,2396,172,2022-01-04 16:46:26.105740382,4,0.05,PayPal,5,29.296551482507518,111.32689563352857,1,1
78,3368,18,2022-01-04 17:56:31.186079071,4,0.05,Cartao,1,19.213417638510652,73.01098702634047,1,1
79,1703,185,2022-01-04 19:06:36.266417761,3,0.0,Boleto,3,40.03810141835146,120.11430425505438,1,1
80,530,112,2022-01-04 20:16:41.346756450,4,0.0,Cartao,5,62.17142621247736,248.68570484990943,1,1
81,3675,40,2022-01-04 21:26:46.427095139,4,0.0,PIX,4,130.20201470999353,520.8080588399741,1,1
82,303,102,2022-01-04 22:36:51.507433828,6,0.05,Cartao,4,193.05554121921594,1100.416584949531,1,1
83,4068,113,2022-01-04 23:46:56.587772518,2,0.05,Cartao,4,17.66891423500304,33.570937046505776,1,1
84,4252,174,2022-01-05 00:57:01.668111207,7,0.1,Cartao,5,47.01886700311626,296.21886211963243,1,2
85,3969,58,2022-01-05 02:07:06.748449896,4,0.1,PIX,4,10.3134849941049,37.128545978777645,1,2
86,14,85,2022-01-05 03:17:11.828788585,3,0.0,PayPal,5,111.83756256845014,335.5126877053504,1,2
87,2804,152,2022-01-05 04:27:16.909127275,1,0.0,Boleto,4,61.99186490838914,61.99186490838914,1,2
88,889,156,2022-01-05 05:37:21.989465964,2,0.2,Cartao,4,32.76738545515761,52.427816728252175,1,2
89,3529,46,2022-01-05 06:47:27.069804653,4,0.1,PIX,5,302.730482076948,1089.829735477013,1,2
90,1197,196,2022-01-05 07:57:32.150143342,3,0.0,Cartao,4,80.63270891960313,241.89812675880938,1,2
91,4541,72,2022-01-05 09:07:37.230482032,1,0.0,Cartao,4,28.741808328660944,28.741808328660944,1,2
92,2170,182,2022-01-05 10:17:42.310820721,3,0.15,PIX,4,102.00615110574556,260.11568531965116,1,2
93,3569,33,2022-01-05 11:27:47.391159410,2,0.0,PIX,5,11.711524429728145,23.42304885945629,1,2
94,2232,67,2022-01-05 12:37:52.471498099,2,0.0,PIX,4,24.34061739060765,48.6812347812153,1,2
95,1844,113,2022-01-05 13:47:57.551836789,2,0.0,Cartao,4,17.66891423500304,35.33782847000608,1,2
96,3652,84,2022-01-05 14:58:02.632175478,3,0.0,Cartao,4,47.62129560420861,142.86388681262582,1,2
97,3877,163,2022-01-05 16:08:07.712514167,2,0.1,Cartao,4,41.923064259645734,75.46151566736232,1,2
98,2719,39,2022-01-05 17:18:12.792852856,4,0.05,Cartao,1,169.83845961893994,645.3861465519717,1,2
99,49,175,2022-01-05 18:28:17.873191546,2,0.0,Cartao,4,92.02885828064885,184.0577165612977,1,2
100,181,71,2022-01-05 19:38:22.953530235,2,0.15,Cartao,5,100.45358280461772,170.77109076785013,1,2
101,3879,5,2022-01-05 20:48:28.033868924,5,0.05,PIX,4,158.80539076538963,754.3256061356007,1,2
102,1418,165,2022-01-05 21:58:33.114207613,2,0.05,Cartao,5,100.62897269630639,191.19504812298214,1,2
103,3465,1,2022-01-05 23:08:38.194546303,2,0.1,Boleto,4,68.66858941690182,123.60346095042328,1,2
104,3420,125,2022-01-06 00:18:43.274884992,2,0.05,Cartao,5,142.28088787426492,270.33368696110335,1,3
105,530,184,2022-01-06 01:28:48.355223681,2,0.1,Cartao,4,119.32818648454948,214.79073567218907,1,3
106,4680,135,2022-01-06 02:38:53.435562370,3,0.1,Cartao,4,15.427257917211355,41.65359637647066,1,3
107,1287,113,2022-01-06 03:48:58.515901060,4,0.05,Cartao,4,17.66891423500304,67.14187409301155,1,3
108,2191,192,2022-01-06 04:59:03.596239749,2,0.0,PIX,4,115.65005666048887,231.30011332097774,1,3
109,707,8,2022-01-06 06:09:08.676578438,3,0.2,PIX,3,122.8612155486089,294.86691731666133,1,3
110,3218,108,2022-01-06 07:19:13.756917127,4,0.05,PIX,5,69.62143919728354,264.5614689496774,1,3
111,294,126,2022-01-06 08:29:18.837255817,3,0.05,PIX,5,29.907893377419807,85.23749612564644,1,3
112,1562,126,2022-01-06 09:39:23.917594506,5,0.0,Cartao,4,29.907893377419807,149.53946688709902,1,3
113,4518,192,2022-01-06 10:49:28.997933195,2,0.05,PIX,4,115.65005666048887,219.73510765492884,1,3
114,2612,185,2022-01-06 11:59:34.078271884,1,0.05,PayPal,5,40.03810141835146,38.036196347433886,1,3
115,661,28,2022-01-06 13:09:39.158610574,2,0.0,PayPal,4,24.416776369051423,48.833552738102846,1,3
116,3179,154,2022-01-06 14:19:44.238949263,2,0.0,Boleto,2,59.874062165308146,119.74812433061629,1,3
117,3390,34,2022-01-06 15:29:49.319287952,3,0.1,Cartao,4,53.641627469647965,144.8323941680495,1,3
118,2107,96,2022-01-06 16:39:54.399626641,1,0.05,Boleto,5,80.96081144378063,76.91277087159159,1,3
119,3064,22,2022-01-06 17:49:59.479965331,1,0.05,PIX,2,107.89218831385797,102.49757889816507,1,3
120,2841,124,2022-01-06 19:00:04.560304020,1,0.0,Cartao,4,78.80556018907903,78.80556018907903,1,3
121,3497,148,2022-01-06 20:10:09.640642709,2,0.0,PIX,5,46.119815081995306,92.23963016399061,1,3
122,2579,142,2022-01-06 21:20:14.720981398,4,0.05,Cartao,4,157.4209187605872,598.1994912902313,1,3
123,2052,151,2022-01-06 22:30:19.801320088,4,0.0,Cartao,5,49.97586822001959,199.90347288007837,1,3
124,2410,67,2022-01-06 23:40:24.881658777,2,0.1,Cartao,5,24.34061739060765,43.81311130309377,1,3
125,2954,147,2022-01-07 00:50:29.961997466,3,0.05,Boleto,5,47.7241819926608,136.01391867908328,1,4
126,369,78,2022-01-07 02:00:35.042336155,3,0.0,Cartao,4,112.19456058794852,336.58368176384556,1,4
127,539,39,2022-01-07 03:10:40.122674845,4,0.0,Cartao,5,169.83845961893994,679.3538384757597,1,4
128,2928,165,2022-01-07 04:20:45.203013534,4,0.1,Cartao,5,100.62897269630639,362.264301706703,1,4
129,2394,99,2022-01-07 05:30:50.283352223,1,0.05,Cartao,5,60.24597435332988,57.23367563566338,1,4
130,731,129,2022-01-07 06:40:55.363690912,3,0.05,PIX,5,63.5369604354573,181.08033724105331,1,4
131,897,19,2022-01-07 07:51:00.444029602,3,0.1,Cartao,5,40.71717391865951,109.93636958038068,1,4
132,4660,15,2022-01-07 09:01:05.524368291,5,0.1,PIX,3,26.151915079959437,117.68361785981749,1,4
133,2369,1,2022-01-07 10:11:10.604706980,1,0.0,Boleto,4,68.66858941690182,68.66858941690182,1,4
134,4560,31,2022-01-07 11:21:15.685045669,3,0.1,PayPal,5,48.55306624192414,131.0932788531952,1,4
135,2681,180,2022-01-07 12:31:20.765384359,5,0.15,Cartao,5,107.58835269741391,457.2504989640091,1,4
136,2381,171,2022-01-07 13:41:25.845723048,1,0.0,Cartao,5,54.97895652250185,54.97895652250185,1,4
137,15,174,2022-01-07 14:51:30.926061737,2,0.0,Cartao,5,47.01886700311626,94.03773400623253,1,4
138,3129,86,2022-01-07 16:01:36.006400426,1,0.0,Cartao,3,101.58119865176596,101.58119865176596,1,4
139,1354,50,2022-01-07 17:11:41.086739116,5,0.05,PIX,5,51.53555191243645,244.79387158407312,1,4
140,3136,20,2022-01-07 18:21:46.167077805,2,0.0,PIX,5,69.9195196679341,139.8390393358682,1,4
141,2278,105,2022-01-07 19:31:51.247416494,2,0.0,Cartao,5,81.22679884711562,162.45359769423123,1,4
142,11,190,2022-01-07 20:41:56.327755183,2,0.0,Cartao,4,22.516438351023066,45.03287670204613,1,4
143,1657,43,2022-01-07 21:52:01.408093873,1,0.0,Cartao,4,22.72460702992212,22.72460702992212,1,4
144,1248,5,2022-01-07 23:02:06.488432562,3,0.0,PIX,4,158.80539076538963,476.4161722961689,1,4
145,1661,66,2022-01-08 00:12:11.568771251,2,0.05,Cartao,5,17.782019630841017,37.16442102845773,1,5
146,1764,140,2022-01-08 01:22:16.649109940,1,0.05,PIX,3,78.14959159654056,81.66632321838489,1,5
147,542,128,2022-01-08 02:32:21.729448629,2,0.0,Cartao,5,43.99623474484525,96.79171643865956,1,5
148,1530,185,2022-01-08 03:42:26.809787319,4,0.05,Cartao,5,40.03810141835146,167.3592639287091,1,5
149,1181,188,2022-01-08 04:52:31.890126008,1,0.0,PIX,4,101.14852671932906,111.26337939126196,1,5
150,2689,183,2022-01-08 06:02:36.970464697,5,0.05,Cartao,4,300.32494087249347,1569.1978160587782,1,5
151,2618,71,2022-01-08 07:12:42.050803386,5,0.0,Cartao,5,100.45358280461772,552.4947054253976,1,5
152,2755,66,2022-01-08 08:22:47.131142076,4,0.1,Cartao,5,17.782019630841017,70.41679773813044,1,5
153,929,200,2022-01-08 09:32:52.211480765,2,0.05,Boleto,5,81.45023600148582,170.23099324310536,1,5
154,1427,73,2022-01-08 10:42:57.291819454,1,0.1,PIX,5,247.99085398835646,245.5109454484729,1,5
155,3660,155,2022-01-08 11:53:02.372158143,1,0.2,PayPal,2,37.571297258707595,33.06274158766269,1,5
156,2234,156,2022-01-08 13:03:07.452496833,5,0.0,PIX,3,32.76738545515761,180.22062000336686,1,5
157,3910,165,2022-01-08 14:13:12.532835522,3,0.0,Boleto,4,100.62897269630639,332.0756098978111,1,5
158,4991,79,2022-01-08 15:23:17.613174211,2,0.1,PIX,4,43.848213006712754,86.81946175329125,1,5
159,2062,19,2022-01-08 16:33:22.693512900,2,0.05,Cartao,4,40.71717391865951,85.09889348999837,1,5
160,4098,179,2022-01-08 17:43:27.773851590,3,0.05,Boleto,5,103.98980664371612,326.00804382805006,1,5
161,2564,13,2022-01-08 18:53:32.854190279,2,0.0,PIX,5,74.21176086025427,163.26587389255943,1,5
162,2804,45,2022-01-08 20:03:37.934528968,2,0.0,Cartao,5,143.9108833148359,316.60394329263903,1,5
163,2294,6,2022-01-08 21:13:43.014867657,9,0.1,Cartao,4,26.998242006565224,240.55433627849618,1,5
164,1626,129,2022-01-08 22:23:48.095206347,5,0.05,Cartao,1,63.5369604354573,331.9806182752645,1,5
165,572,106,2022-01-08 23:33:53.175545036,1,0.05,PIX,5,55.24759187451306,57.73373350886615,1,5
166,4532,121,2022-01-09 00:43:58.255883725,4,0.1,Cartao,5,178.8211013976887,708.1315615348474,1,6
167,2401,25,2022-01-09 01:54:03.336222414,3,0.2,PIX,4,10.0,26.400000000000002,1,6
168,1712,154,2022-01-09 03:04:08.416561104,4,0.1,Cartao,2,59.874062165308146,237.10128617462027,1,6
169,383,141,2022-01-09 04:14:13.496899793,7,0.15,Boleto,3,39.223611837797,256.71853947838133,1,6
170,1084,19,2022-01-09 05:24:18.577238482,2,0.0,Cartao,2,40.71717391865951,89.57778262105093,1,6
171,1950,138,2022-01-09 06:34:23.657577171,2,0.1,PIX,4,61.92851384905333,122.61845742112561,1,6
172,2518,173,2022-01-09 07:44:28.737915861,2,0.1,Boleto,3,22.717646304343,44.98093968259915,1,6
173,4170,71,2022-01-09 08:54:33.818254550,3,0.0,Cartao,4,100.45358280461772,331.4968232552385,1,6
174,3498,15,2022-01-09 10:04:38.898593239,6,0.05,PIX,2,26.151915079959437,163.97250755134567,1,6
175,3315,107,2022-01-09 11:14:43.978931928,3,0.0,Cartao,5,166.74097046283643,550.2452025273602,1,6
176,4931,159,2022-01-09 12:24:49.059270618,4,0.0,Cartao,3,52.05783748427777,229.0544849308222,1,6
177,2676,126,2022-01-09 13:34:54.139609307,3,0.05,Cartao,4,29.907893377419807,93.7612457382111,1,6
178,3395,136,2022-01-09 14:44:59.219947996,5,0.2,PayPal,5,30.15325332576214,132.67431463335345,1,6
179,1204,30,2022-01-09 15:55:04.300286685,7,0.1,Cartao,3,20.978757959938,145.38279266237035,1,6
180,774,98,2022-01-09 17:05:09.380625375,1,0.0,PIX,5,111.71965347041201,122.89161881745322,1,6
181,3057,97,2022-01-09 18:15:14.460964064,4,0.15,Cartao,3,113.65928694078707,425.0857331585437,1,6
182,2314,1,2022-01-09 19:25:19.541302753,1,0.05,PIX,2,68.66858941690182,71.7586759406624,1,6
183,2598,16,2022-01-09 20:35:24.621641442,3,0.0,Cartao,5,146.84313582694529,484.5823482289195,1,6
184,1404,114,2022-01-09 21:45:29.701980132,1,0.15,Cartao,4,84.11780070246768,78.65014365680729,1,6
185,4173,11,2022-01-09 22:55:34.782318821,2,0.15,PIX,5,53.81441066564159,100.63294794474977,1,6
186,3062,155,2022-01-10 00:05:39.862657510,2,0.1,Cartao,3,37.571297258707595,67.62833506567367,1,0
187,3326,86,2022-01-10 01:15:44.942996199,2,0.05,Cartao,4,101.58119865176596,193.0042774383553,1,0
188,1404,168,2022-01-10 02:25:50.023334889,5,0.0,PIX,5,130.4728051733273,652.3640258666364,1,0
189,3321,172,2022-01-10 03:35:55.103673578,3,0.0,Cartao,4,29.296551482507518,87.88965444752256,1,0
190,870,70,2022-01-10 04:46:00.184012267,3,0.15,Cartao,4,179.5589516211935,457.8753266340434,1,0
191,1084,120,2022-01-10 05:56:05.264350956,7,0.0,Cartao,4,77.27297915183716,540.9108540628602,1,0
192,974,185,2022-01-10 07:06:10.344689646,2,0.05,PIX,5,40.03810141835146,76.07239269486777,1,0
193,1226,176,2022-01-10 08:16:15.425028335,2,0.1,PIX,3,54.00218451911889,97.203932134414,1,0
194,1803,168,2022-01-10 09:26:20.505367024,4,0.1,PIX,4,130.4728051733273,469.70209862397826,1,0
195,2965,39,2022-01-10 10:36:25.585705713,5,0.05,Cartao,5,169.83845961893994,806.7326831899646,1,0
196,1189,131,2022-01-10 11:46:30.666044403,2,0.0,Boleto,5,169.82072708720415,339.6414541744083,1,0
197,3444,183,2022-01-10 12:56:35.746383092,5,0.0,Cartao,4,300.32494087249347,1501.6247043624674,1,0
198,3935,1,2022-01-10 14:06:40.826721781,2,0.0,PIX,4,68.66858941690182,137.33717883380365,1,0
199,4410,23,2022-01-10 15:16:45.907060470,2,0.1,Cartao,5,32.81726376690922,59.0710747804366,1,0
200,1322,195,2022-01-10 16:26:50.987399160,5,0.0,Boleto,4,60.169506576450495,300.8475328822525,1,0
201,2024,190,2022-01-10 17:36:56.067737849,3,0.1,Cartao,2,22.516438351023066,60.79438354776227,1,0
202,4732,115,2022-01-10 18:47:01.148076538,1,0.0,PIX,4,124.46779017029083,124.46779017029083,1,0
203,4513,162,2022-01-10 19:57:06.228415227,4,0.0,Boleto,5,22.154397211327222,88.61758884530889,1,0
204,439,145,2022-01-10 21:07:11.308753917,6,0.0,Cartao,3,121.51483235550242,729.0889941330145,1,0
205,165,48,2022-01-10 22:17:16.389092606,4,0.0,Boleto,5,31.27535906794353,125.10143627177412,1,0
206,3338,91,2022-01-10 23:27:21.469431295,2,0.1,Cartao,4,77.78746294520676,140.01743330137217,1,0
207,3351,53,2022-01-11 00:37:26.549769984,3,0.05,PIX,5,180.11684728541613,513.3330147634359,1,1
208,988,61,2022-01-11 01:47:31.630108674,4,0.0,PIX,3,64.87174356219164,259.48697424876656,1,1
209,2530,103,2022-01-11 02:57:36.710447363,3,0.0,PIX,4,87.90014881876334,263.70044645629,1,1
210,4613,102,2022-01-11 04:07:41.790786052,1,0.1,PIX,3,193.05554121921594,173.74998709729434,1,1
211,4178,139,2022-01-11 05:17:46.871124741,4,0.05,Boleto,5,64.8238527988364,246.3306406355783,1,1
212,4215,143,2022-01-11 06:27:51.951463430,4,0.0,Cartao,4,100.81573716654023,403.2629486661609,1,1
213,3846,90,2022-01-11 07:37:57.031802120,3,0.0,Cartao,4,60.62585827401395,181.87757482204185,1,1
214,1327,118,2022-01-11 08:48:02.112140809,3,0.05,Cartao,5,59.65325318945532,170.01177158994767,1,1
215,3287,139,2022-01-11 09:58:07.192479498,4,0.0,PIX,5,64.8238527988364,259.2954111953456,1,1
216,28,135,2022-01-11 11:08:12.272818187,2,0.0,Cartao,5,15.427257917211355,30.85451583442271,1,1
217,2025,47,2022-01-11 12:18:17.353156877,7,0.0,Cartao,5,128.41934685847997,898.9354280093598,1,1
218,4594,136,2022-01-11 13:28:22.433495566,1,0.1,Cartao,5,30.15325332576214,27.137927993185926,1,1
219,194,5,2022-01-11 14:38:27.513834255,4,0.15,PayPal,3,158.80539076538963,539.9383286023248,1,1
220,592,87,2022-01-11 15:48:32.594172944,3,0.0,PIX,5,73.35241664130928,220.05724992392783,1,1
221,2490,194,2022-01-11 16:58:37.674511634,5,0.05,Boleto,4,117.76125814169451,559.3659761730489,1,1
222,1858,91,2022-01-11 18:08:42.754850323,6,0.0,Cartao,4,77.78746294520676,466.72477767124053,1,1
223,113,63,2022-01-11 19:18:47.835189012,1,0.0,Boleto,5,38.727986235793914,38.727986235793914,1,1
224,1318,21,2022-01-11 20:28:52.915527701,2,0.05,PIX,4,202.2700335438328,384.3130637332823,1,1
225,1738,199,2022-01-11 21:38:57.995866391,4,0.1,PIX,4,39.67387062479729,142.82593424927023,1,1
226,2062,119,2022-01-11 22:49:03.076205080,1,0.05,Cartao,5,10.0,9.5,1,1
227,1691,121,2022-01-11 23:59:08.156543769,3,0.1,Cartao,3,178.8211013976887,482.81697377375946,1,1
228,3669,102,2022-01-12 01:09:13.236882458,6,0.1,Cartao,5,193.05554121921594,1042.4999225837662,1,2
229,1395,90,2022-01-12 02:19:18.317221148,1,0.0,Cartao,4,60.62585827401395,60.62585827401395,1,2
230,3169,140,2022-01-12 03:29:23.397559837,1,0.05,Cartao,4,78.14959159654056,74.24211201671353,1,2
231,3560,112,2022-01-12 04:39:28.477898526,2,0.0,Boleto,3,62.17142621247736,124.34285242495471,1,2
232,2237,139,2022-01-12 05:49:33.558237215,8,0.1,Cartao,4,64.8238527988364,466.7317401516221,1,2
233,3884,182,2022-01-12 06:59:38.638575905,9,0.0,PIX,4,102.00615110574556,918.05535995171,1,2
234,3252,138,2022-01-12 08:09:43.718914594,5,0.0,PIX,5,61.92851384905333,309.64256924526666,1,2
235,3933,119,2022-01-12 09:19:48.799253283,4,0.05,PayPal,5,10.0,38.0,1,2
236,3015,16,2022-01-12 10:29:53.879591972,1,0.05,PIX,4,146.84313582694529,139.50097903559802,1,2
237,3487,143,2022-01-12 11:39:58.959930662,3,0.05,Cartao,4,100.81573716654023,287.3248509246397,1,2
238,1129,186,2022-01-12 12:50:04.040269351,4,0.0,PIX,2,34.32959871776507,137.3183948710603,1,2
239,1697,119,2022-01-12 14:00:09.120608040,4,0.0,PIX,4,10.0,40.0,1,2
240,133,84,2022-01-12 15:10:14.200946729,5,0.15,PIX,3,47.62129560420861,202.3905063178866,1,2
241,4666,132,2022-01-12 16:20:19.281285419,3,0.05,Cartao,1,166.4038192171998,474.2508847690194,1,2
242,4221,22,2022-01-12 17:30:24.361624108,3,0.05,Cartao,2,107.89218831385797,307.4927366944952,1,2
243,3540,163,2022-01-12 18:40:29.441962797,2,0.1,Boleto,2,41.923064259645734,75.46151566736232,1,2
244,2989,142,2022-01-12 19:50:34.522301486,4,0.0,Boleto,4,157.4209187605872,629.6836750423488,1,2
245,4303,94,2022-01-12 21:00:39.602640176,2,0.05,Cartao,4,113.13502848556219,214.95655412256815,1,2
246,3294,31,2022-01-12 22:10:44.682978865,1,0.0,Cartao,3,48.55306624192414,48.55306624192414,1,2
