cliente_id,idade,genero,cidade,renda_mensal,tipo_cliente,data_cadastro
109,38,F,Brasilia,1103.6132905071045,Regular,2020-02-01 13:32:02.064412883
110,34,F,Porto Alegre,1927.9350068568172,Regular,2020-02-01 20:32:53.194638928
111,11,F,Sao Paulo,1393.5911215207225,Regular,2020-02-02 03:33:44.324864973
112,34,F,Salvador,3612.228193309984,Regular,2020-02-02 10:34:35.455091018
113,35,M,Fortaleza,2981.762004119279,Novo,2020-02-02 17:35:26.585317063
114,64,F,Rio de Janeiro,3468.5126632530437,Novo,2020-02-03 00:36:17.715543109
115,32,F,Manaus,2829.129385616352,Novo,2020-02-03 07:37:08.845769154
116,38,F,Curitiba,1484.5264699011962,Regular,2020-02-03 14:37:59.975995199
117,34,M,Sao Paulo,3853.590864325074,Novo,2020-02-03 21:38:51.106221244
118,20,M,Salvador,7794.021778306368,Novo,2020-02-04 04:39:42.236447289
119,48,F,Salvador,3657.760263825504,Novo,2020-02-04 11:40:33.366673335
120,44,M,Brasilia,2409.170316843202,Novo,2020-02-04 18:41:24.496899380
121,44,F,Salvador,1459.6710950305362,Regular,2020-02-05 01:42:15.627125425
122,24,M,Recife,1893.091554150363,Novo,2020-02-05 08:43:06.757351470
123,51,M,Manaus,3738.7994204023007,Regular,2020-02-05 15:43:57.887577515
124,18,M,Rio de Janeiro,5097.772779371391,Regular,2020-02-05 22:44:49.017803561
125,42,M,Sao Paulo,3396.270128344283,Novo,2020-02-06 05:45:40.148029606
126,61,F,Recife,4446.816139661123,Regular,2020-02-06 12:46:31.278255651
127,23,F,Sao Paulo,4246.452137091577,VIP,2020-02-06 19:47:22.408481696
128,28,M,Fortaleza,3840.1518754302774,VIP,2020-02-07 02:48:13.538707742
129,36,F,Rio de Janeiro,2144.7176743920863,Novo,2020-02-07 09:49:04.668933787
130,28,M,Salvador,3251.7928064609414,Regular,2020-02-07 16:49:55.799159832
131,16,F,Fortaleza,1950.4416206770609,Regular,2020-02-07 23:50:46.929385877
132,35,M,Brasilia,3007.0489949251482,Novo,2020-02-08 06:51:38.059611922
133,22,F,Fortaleza,3517.239632133508,Novo,2020-02-08 13:52:29.189837968
134,40,F,Belo Horizonte,6900.795016242992,Regular,2020-02-08 20:53:20.320064013
135,23,F,Brasilia,1548.6424893097935,Regular,2020-02-09 03:54:11.450290058
136,53,F,Rio de Janeiro,3792.3979993269195,Regular,2020-02-09 10:55:02.580516103
137,25,F,Manaus,6251.759954507122,Regular,2020-02-09 17:55:53.710742148
138,31,F,Belo Horizonte,4356.4983499674745,Novo,2020-02-10 00:56:44.840968194
139,44,F,Sao Paulo,4520.928723008973,Regular,2020-02-10 07:57:35.971194239
140,20,F,Curitiba,3999.1913250829252,Regular,2020-02-10 14:58:27.101420284
141,37,F,Curitiba,5705.393559258906,Regular,2020-02-10 21:59:18.231646329
142,50,M,Belo Horizonte,1730.664842939553,VIP,2020-02-11 05:00:09.361872374
143,15,F,Manaus,1490.753039659734,Regular,2020-02-11 12:01:00.492098420
144,37,M,Recife,2971.532017968087,VIP,2020-02-11 19:01:51.622324465
145,38,F,Curitiba,1011.7319550514745,Regular,2020-02-12 02:02:42.752550510
146,44,F,Belo Horizonte,5515.529302161998,Regular,2020-02-12 09:03:33.882776555
147,20,F,Rio de Janeiro,5488.210898793111,Regular,2020-02-12 16:04:25.013002601
148,19,M,Porto Alegre,2400.2417068625555,Regular,2020-02-12 23:05:16.143228646
149,41,M,Manaus,2476.5325653011682,Regular,2020-02-13 06:06:07.273454691
150,38,F,Manaus,2875.05263941238,Regular,2020-02-13 13:06:58.403680736
151,38,F,Recife,3059.510837738713,Regular,2020-02-13 20:07:49.533906781
152,39,M,Brasilia,3176.664289304239,Novo,2020-02-14 03:08:40.664132827
153,26,M,Salvador,3940.7094653879712,Regular,2020-02-14 10:09:31.794358872
154,37,F,Curitiba,2734.453351766472,Regular,2020-02-14 17:10:22.924584917
155,38,F,Salvador,4777.136807351824,Regular,2020-02-15 00:11:14.054810962
156,26,M,Salvador,3725.565340511314,Regular,2020-02-15 07:12:05.185037007
157,57,M,Rio de Janeiro,2200.6725057443305,Novo,2020-02-15 14:12:56.315263053
158,40,M,Sao Paulo,5811.2811535976725,Regular,2020-02-15 21:13:47.445489098
159,20,F,Salvador,1511.5206966868332,Novo,2020-02-16 04:14:38.575715143
160,42,M,Manaus,2846.703948208932,Novo,2020-02-16 11:15:29.705941188
161,23,M,Recife,4834.140861304279,Regular,2020-02-16 18:16:20.836167234
162,44,M,Recife,2076.5506349757843,Regular,2020-02-17 01:17:11.966393279
163,48,M,Porto Alegre,3479.966072305781,Regular,2020-02-17 08:18:03.096619324
164,25,F,Sao Paulo,3911.4749170953432,Regular,2020-02-17 15:18:54.226845369
165,46,M,Brasilia,1938.6324213222674,Novo,2020-02-17 22:19:45.357071414
166,39,M,Manaus,2874.8654156933276,Regular,2020-02-18 05:20:36.487297460
167,44,M,Manaus,2756.5855820137017,Regular,2020-02-18 12:21:27.617523505
168,57,M,Porto Alegre,2262.285974252097,Novo,2020-02-18 19:22:18.747749550
169,32,M,Fortaleza,9422.327578157985,Regular,2020-02-19 02:23:09.877975595
170,25,F,Porto Alegre,2035.3983401715261,Regular,2020-02-19 09:24:01.008201640
171,24,F,Salvador,4926.899413808886,Regular,2020-02-19 16:24:52.138427686
172,25,F,Belo Horizonte,2449.4027334639345,VIP,2020-02-19 23:25:43.268653731
173,34,F,Recife,1731.393588249295,Regular,2020-02-20 06:26:34.398879776
174,39,F,Porto Alegre,3138.2077057107063,VIP,2020-02-20 13:27:25.529105821
175,38,M,Salvador,4123.867403394354,Regular,2020-02-20 20:28:16.659331866
176,44,F,Curitiba,4723.261272424661,Novo,2020-02-21 03:29:07.789557912
177,35,F,Sao Paulo,6510.246213669114,Regular,2020-02-21 10:29:58.919783957
178,52,F,Manaus,12998.940653974807,Novo,2020-02-21 17:30:50.050010002
179,31,F,Fortaleza,3378.736499512149,Regular,2020-02-22 00:31:41.180236047
180,67,M,Sao Paulo,2139.7706151474804,Regular,2020-02-22 07:32:32.310462093
181,42,F,Salvador,3738.4903657389355,Regular,2020-02-22 14:33:23.440688138
182,24,F,Brasilia,2609.446802527073,Novo,2020-02-22 21:34:14.570914183
183,22,F,Curitiba,4736.165234166087,Regular,2020-02-23 04:35:05.701140228
184,40,M,Salvador,1558.4045488653876,Novo,2020-02-23 11:35:56.831366274
185,32,M,Belo Horizonte,9741.664460452756,Regular,2020-02-23 18:36:47.961592319
186,43,M,Rio de Janeiro,4573.4542299734585,Regular,2020-02-24 01:37:39.091818364
187,40,F,Salvador,1284.337103041976,VIP,2020-02-24 08:38:30.222044409
188,34,M,Porto Alegre,2091.1837011933258,Novo,2020-02-24 15:39:21.352270454
189,24,M,Salvador,4482.967623449474,Regular,2020-02-24 22:40:12.482496500
190,16,F,Porto Alegre,5367.792527772324,Regular,2020-02-25 05:41:03.612722545
191,29,M,Brasilia,1577.9490077195107,VIP,2020-02-25 12:41:54.742948590
192,45,F,Manaus,4257.821507372319,Regular,2020-02-25 19:42:45.873174635
193,37,M,Recife,1125.8910703648332,Novo,2020-02-26 02:43:37.003400680
194,20,F,Rio de Janeiro,2850.7348076155035,Regular,2020-02-26 09:44:28.133626726
195,37,F,Brasilia,5197.9698820964295,Regular,2020-02-26 16:45:19.263852771
196,39,F,Porto Alegre,2262.537239641114,Regular,2020-02-26 23:46:10.394078816
197,24,F,Recife,1403.2396112295928,Regular,2020-02-27 06:47:01.524304861
198,36,M,Belo Horizonte,3207.051948996216,Novo,2020-02-27 13:47:52.654530907
199,35,M,Sao Paulo,2203.1436840809374,VIP,2020-02-27 20:48:43.784756952
200,21,M,Rio de Janeiro,4083.7835690433762,Novo,2020-02-28 03:49:34.914982997
201,39,F,Fortaleza,1914.739352298757,VIP,2020-02-28 10:50:26.045209042
202,41,F,Brasilia,2025.722194407253,Regular,2020-02-28 17:51:17.175435087
203,47,M,Sao Paulo,1085.1774918583344,Regular,2020-02-29 00:52:08.305661133
204,47,F,Sao Paulo,3245.3301189182193,Regular,2020-02-29 07:52:59.435887178
205,18,M,Salvador,2750.5262358964164,Novo,2020-02-29 14:53:50.566113223
206,23,F,Salvador,1645.5133224276617,Novo,2020-02-29 21:54:41.696339268
207,41,F,Fortaleza,3284.2689256565827,Novo,2020-03-01 04:55:32.826565313
208,41,M,Fortaleza,4981.743206937044,Novo,2020-03-01 11:56:23.956791359
209,41,F,Porto Alegre,2676.3682617826043,Regular,2020-03-01 18:57:15.087017404
210,81,M,Fortaleza,3408.6904863051495,Novo,2020-03-02 01:58:06.217243449
211,41,F,Sao Paulo,3417.46943468131,Regular,2020-03-02 08:58:57.347469494
212,48,F,Porto Alegre,1632.4464961136352,Regular,2020-03-02 15:59:48.477695540
213,46,M,Recife,8335.617772825699,Regular,2020-03-02 23:00:39.607921585
214,42,M,Manaus,2355.6573215579283,Regular,2020-03-03 06:01:30.738147630
215,31,M,Manaus,4138.373440830678,Regular,2020-03-03 13:02:21.868373675
216,44,F,Manaus,4379.140006807808,Novo,2020-03-03 20:03:12.998599720
217,25,F,Rio de Janeiro,2779.9895187454445,Regular,2020-03-04 03:04:04.128825766
218,32,M,Rio de Janeiro,4037.5668009856927,Regular,2020-03-04 10:04:55.259051811
219,29,F,Fortaleza,3370.814248435411,Regular,2020-03-04 17:05:46.389277856
220,35,F,Manaus,1467.3012694687102,Novo,2020-03-05 00:06:37.519503901
221,62,M,Belo Horizonte,2524.664974083553,Regular,2020-03-05 07:07:28.649729946
222,12,M,Salvador,2194.5330048581664,Novo,2020-03-05 14:08:19.779955992
223,43,F,Belo Horizonte,2366.405649480061,Regular,2020-03-05 21:09:10.910182037
224,15,F,Manaus,1553.0847773738296,Regular,2020-03-06 04:10:02.040408082
225,29,M,Manaus,5235.4959615750595,Regular,2020-03-06 11:10:53.170634127
226,48,M,Salvador,6640.857178635734,VIP,2020-03-06 18:11:44.300860172
227,35,M,Manaus,4861.009872476196,Regular,2020-03-07 01:12:35.431086218
228,22,F,Brasilia,5626.622399556953,Regular,2020-03-07 08:13:26.561312263
229,26,M,Sao Paulo,2509.10797746331,Novo,2020-03-07 15:14:17.691538308
230,43,M,Porto Alegre,2168.6748298508683,Regular,2020-03-07 22:15:08.821764353
231,26,F,Salvador,2019.7044677425165,Regular,2020-03-08 05:15:59.951990399
232,37,F,Manaus,4113.512072603926,Novo,2020-03-08 12:16:51.082216444
233,35,M,Rio de Janeiro,3339.3502348194493,Regular,2020-03-08 19:17:42.212442489
234,27,M,Rio de Janeiro,2868.054327550847,Novo,2020-03-09 02:18:33.342668534
235,60,F,Sao Paulo,5696.312257616123,Novo,2020-03-09 09:19:24.472894579
236,42,M,Rio de Janeiro,3649.957040961446,VIP,2020-03-09 16:20:15.603120625
237,10,M,Porto Alegre,1959.9440016696508,Regular,2020-03-09 23:21:06.733346670
238,37,F,Curitiba,2120.793490123912,Novo,2020-03-10 06:21:57.863572715
239,27,M,Curitiba,4192.265880272464,Regular,2020-03-10 13:22:48.993798760
240,45,F,Curitiba,5018.3999475314495,Regular,2020-03-10 20:23:40.124024805
241,25,F,Sao Paulo,3927.8210705308984,Novo,2020-03-11 03:24:31.254250851
242,33,M,Sao Paulo,7695.910585239911,Regular,2020-03-11 10:25:22.384476896
243,41,M,Porto Alegre,6751.389286196108,Regular,2020-03-11 17:26:13.514702941
244,45,F,Salvador,3716.426686294035,Novo,2020-03-12 00:27:04.644928986
245,20,F,Fortaleza,1960.0194394443845,Regular,2020-03-12 07:27:55.775155031
246,30,F,Curitiba,1548.4446339400702,Novo,2020-03-12 14:28:46.905381077
247,29,F,Rio de Janeiro,2456.0487231653865,Regular,2020-03-12 21:29:38.035607122
248,27,M,Belo Horizonte,4344.242669543563,Regular,2020-03-13 04:30:29.165833167
249,56,F,Fortaleza,7430.315053124531,Novo,2020-03-13 11:31:20.296059212
250,39,M,Porto Alegre,3672.8511414163304,Regular,2020-03-13 18:32:11.426285258
251,19,M,Salvador,5347.376774480359,Regular,2020-03-14 01:33:02.556511303
252,46,M,Rio de Janeiro,2636.8657024676454,Regular,2020-03-14 08:33:53.686737348
253,60,M,Manaus,4069.944176983765,Regular,2020-03-14 15:34:44.816963393
254,47,F,Salvador,4499.305878950077,Novo,2020-03-14 22:35:35.947189438
255,16,M,Curitiba,1107.879228783756,VIP,2020-03-15 05:36:27.077415484
256,29,M,Curitiba,2424.2575676162837,Regular,2020-03-15 12:37:18.207641529
257,50,M,Manaus,4792.704726645347,Regular,2020-03-15 19:38:09.337867574
258,26,F,Porto Alegre,3419.447159832676,Regular,2020-03-16 02:39:00.468093619
259,40,F,Recife,1638.8375785275189,Regular,2020-03-16 09:39:51.598319664
260,44,M,Salvador,1000.0,Regular,2020-03-16 16:40:42.728545710
261,23,M,Manaus,2482.719044187303,Regular,2020-03-16 23:41:33.858771755
262,34,M,Porto Alegre,2876.1479300364017,VIP,2020-03-17 06:42:24.988997800
263,-3,F,Porto Alegre,1916.083475337774,Regular,2020-03-17 13:43:16.119223845
264,22,F,Sao Paulo,3202.0370632278937,Novo,2020-03-17 20:44:07.249449890
265,31,F,Salvador,3839.868397908296,VIP,2020-03-18 03:44:58.379675936
266,20,F,Rio de Janeiro,4168.633592196277,Regular,2020-03-18 10:45:49.509901981
267,54,M,Recife,1000.0,Regular,2020-03-18 17:46:40.640128026
268,17,F,Brasilia,1545.1209191571365,VIP,2020-03-19 00:47:31.770354071
269,29,F,Belo Horizonte,2559.8109211564256,Novo,2020-03-19 07:48:22.900580117
270,36,M,Salvador,3968.274186820875,Regular,2020-03-19 14:49:14.030806162
271,52,M,Fortaleza,3807.0770940249145,Novo,2020-03-19 21:50:05.161032207
272,17,F,Porto Alegre,3774.1669956837327,Regular,2020-03-20 04:50:56.291258252
273,48,F,Sao Paulo,2460.9211966565445,Regular,2020-03-20 11:51:47.421484297
274,35,M,Manaus,2530.5280651489197,VIP,2020-03-20 18:52:38.551710343
275,23,F,Curitiba,2071.1004550352686,Regular,2020-03-21 01:53:29.681936388
276,40,F,Manaus,4376.904700012591,Regular,2020-03-21 08:54:20.812162433
277,37,M,Manaus,1881.3701736352903,VIP,2020-03-21 15:55:11.942388478
278,27,M,Recife,4559.72775372107,Regular,2020-03-21 22:56:03.072614523
279,35,M,Salvador,3307.429627334806,Novo,2020-03-22 05:56:54.202840569
280,30,F,Manaus,2914.5705413330957,Regular,2020-03-22 12:57:45.333066614
281,36,M,Recife,2146.6092863498047,VIP,2020-03-22 19:58:36.463292659
282,42,M,Brasilia,1513.574073949763,VIP,2020-03-23 02:59:27.593518704
283,54,F,Rio de Janeiro,2156.3529440560646,Regular,2020-03-23 10:00:18.723744749
284,20,F,Brasilia,2527.526829031523,Regular,2020-03-23 17:01:09.853970795
285,60,M,Salvador,1000.0,Novo,2020-03-24 00:02:00.984196840
286,11,M,Curitiba,2700.8516342016937,Novo,2020-03-24 07:02:52.114422885
287,33,F,Brasilia,4732.357085056935,VIP,2020-03-24 14:03:43.244648930
288,42,F,Recife,3958.4545095967987,Novo,2020-03-24 21:04:34.374874976
289,38,F,Recife,2325.9807618513396,Novo,2020-03-25 04:05:25.505101021
290,27,M,Belo Horizonte,3051.742900593161,Regular,2020-03-25 11:06:16.635327066
291,32,F,Porto Alegre,2257.2842610294188,Regular,2020-03-25 18:07:07.765553111
292,29,F,Fortaleza,3211.137024572605,Regular,2020-03-26 01:07:58.895779156
293,27,F,Fortaleza,6438.519567649654,Novo,2020-03-26 08:08:50.026005202
294,45,F,Salvador,4837.964731797796,VIP,2020-03-26 15:09:41.156231247
295,39,M,Porto Alegre,3867.6298356980396,VIP,2020-03-26 22:10:32.286457292
296,26,M,Belo Horizonte,2329.8462186638103,Regular,2020-03-27 05:11:23.416683337
297,45,F,Sao Paulo,4337.1346773779305,Regular,2020-03-27 12:12:14.546909382
298,38,F,Manaus,1282.4935198882852,Regular,2020-03-27 19:13:05.677135428
299,44,F,Brasilia,2627.5923746797,Regular,2020-03-28 02:13:56.807361473
300,42,M,Porto Alegre,3991.2338988629317,Regular,2020-03-28 09:14:47.937587518
301,25,F,Manaus,4316.545061682134,Regular,2020-03-28 16:15:39.067813563
302,28,F,Sao Paulo,4166.960887410692,Regular,2020-03-28 23:16:30.198039608
303,43,M,Curitiba,3454.438982586118,Novo,2020-03-29 06:17:21.328265654
304,42,M,Belo Horizonte,2703.053963721564,Regular,2020-03-29 13:18:12.458491699
305,34,F,Manaus,3900.999123861201,Regular,2020-03-29 20:19:03.588717744
306,36,F,Belo Horizonte,1851.1632045583679,Regular,2020-03-30 03:19:54.718943789
307,50,F,Belo Horizonte,1954.05380559755,Regular,2020-03-30 10:20:45.849169835
308,27,F,Porto Alegre,3074.4070679907436,Regular,2020-03-30 17:21:36.979395880
309,41,M,Recife,3250.612832371158,Regular,2020-03-31 00:22:28.109621925
310,32,M,Rio de Janeiro,1196.5436770784816,Novo,2020-03-31 07:23:19.239847970
311,32,F,Salvador,3742.7398053048837,Regular,2020-03-31 14:24:10.370074015
312,48,F,Fortaleza,4386.838946506339,Regular,2020-03-31 21:25:01.500300061
313,44,F,Belo Horizonte,2867.963231177472,Regular,2020-04-01 04:25:52.630526106
314,44,F,Porto Alegre,9771.576972088042,Regular,2020-04-01 11:26:43.760752151
315,50,M,Porto Alegre,2118.6459204747252,Regular,2020-04-01 18:27:34.890978196
316,35,F,Manaus,2488.5523088395635,VIP,2020-04-02 01:28:26.021204241
317,43,M,Manaus,2446.6292671959213,Regular,2020-04-02 08:29:17.151430287
318,31,M,Brasilia,2869.537638921881,Regular,2020-04-02 15:30:08.281656332
319,38,M,Belo Horizonte,2529.1475634806734,VIP,2020-04-02 22:30:59.411882377
320,33,M,Rio de Janeiro,1475.2676761977577,Regular,2020-04-03 05:31:50.542108422
321,36,M,Salvador,2268.1637261027636,Regular,2020-04-03 12:32:41.672334468
322,42,M,Salvador,2838.9503055568703,Novo,2020-04-03 19:33:32.802560513
323,25,M,Curitiba,5509.813428409832,Regular,2020-04-04 02:34:23.932786558
324,60,M,Curitiba,8965.342923610848,Regular,2020-04-04 09:35:15.063012603
325,22,F,Brasilia,5812.330853071404,Regular,2020-04-04 16:36:06.193238648
326,20,M,Fortaleza,2022.9466905982172,Regular,2020-04-04 23:36:57.323464694
327,48,M,Curitiba,2105.0514648698854,VIP,2020-04-05 06:37:48.453690739
328,44,F,Sao Paulo,2752.69500129709,Novo,2020-04-05 13:38:39.583916784
329,42,F,Brasilia,7275.5845871023175,Regular,2020-04-05 20:39:30.714142829
330,42,F,Salvador,2744.3182814712236,Regular,2020-04-06 03:40:21.844368874
